System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
ant,ant-1.1,com/oreilly/servlet/MailMessage,0,6768,public super,java/lang/Object,0,8,0,27,0,0,0,18,47,482,131,35,18,
ant,ant-1.1,com/oreilly/servlet/MailPrintStream,0,1217,super,java/io/PrintStream,0,1,0,5,0,0,1,6,11,75,31,3,1,
ant,ant-1.1,org/apache/tools/ant/BuildEvent,0,2010,public super,java/util/EventObject,0,6,0,11,0,0,4,8,11,80,36,0,3,
ant,ant-1.1,org/apache/tools/ant/BuildException,0,1997,public super,java/lang/RuntimeException,0,2,0,10,0,0,45,6,10,74,31,0,7,
ant,ant-1.1,org/apache/tools/ant/BuildListener,0,499,public abstract interface,java/lang/Object,1,0,0,7,0,0,5,4,7,0,0,0,0,
ant,ant-1.1,org/apache/tools/ant/DefaultLogger,0,3146,public super,java/lang/Object,1,4,0,10,0,0,2,15,18,178,43,7,5,
ant,ant-1.1,org/apache/tools/ant/DesirableFilter,0,810,public super,java/lang/Object,1,0,0,2,0,0,0,6,9,43,8,0,1,
ant,ant-1.1,org/apache/tools/ant/DirectoryScanner,0,7960,public super,java/lang/Object,0,10,0,20,0,0,11,12,114,1100,360,103,10,
ant,ant-1.1,org/apache/tools/ant/EnumeratedAttribute,0,1286,public abstract super,java/lang/Object,0,1,0,5,0,0,4,7,10,53,16,2,3,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper,0,9711,public super,java/lang/Object,0,15,8,14,1,17,4,46,77,756,185,37,32,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$1,0,973,final private,java/lang/Object,1,1,1,2,1,0,1,4,2,13,5,0,0,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$10,0,1163,final private,java/lang/Object,1,1,1,2,1,0,1,7,2,21,6,1,1,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$11,0,1238,final private,java/lang/Object,1,1,1,2,1,0,1,7,2,22,6,1,1,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$12,0,1393,final private,java/lang/Object,1,1,1,2,1,0,1,9,2,26,7,2,1,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$13,0,1217,final private,java/lang/Object,1,1,1,2,1,0,1,7,2,20,7,1,0,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$14,0,1655,final private,java/lang/Object,1,2,2,2,1,0,1,10,2,36,12,3,1,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$15,0,1558,final private,java/lang/Object,1,2,2,2,1,0,1,9,2,36,10,3,1,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$2,0,1266,final private,java/lang/Object,1,2,2,2,1,0,1,5,2,28,10,2,0,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$3,0,1120,final private,java/lang/Object,1,1,1,2,1,0,1,6,2,18,6,1,0,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$4,0,1199,final private,java/lang/Object,1,1,1,2,1,0,1,7,2,23,6,1,1,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$5,0,1159,final private,java/lang/Object,1,1,1,2,1,0,1,7,2,21,6,1,1,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$6,0,1160,final private,java/lang/Object,1,1,1,2,1,0,1,7,2,21,6,1,1,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$7,0,1162,final private,java/lang/Object,1,1,1,2,1,0,1,7,2,21,6,1,1,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$8,0,1159,final private,java/lang/Object,1,1,1,2,1,0,1,7,2,21,6,1,1,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$9,0,1160,final private,java/lang/Object,1,1,1,2,1,0,1,7,2,21,6,1,1,
ant,ant-1.1,org/apache/tools/ant/IntrospectionHelper$AttributeSetter,0,702,abstract static private interface,java/lang/Object,0,0,0,1,0,0,14,4,1,0,0,0,0,
