System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
ant,ant-1.7.1,org/apache/tools/ant/AntClassLoader,0,22523,public super,java/lang/ClassLoader,1,16,2,58,2,1,30,54,172,1824,533,142,54,
ant,ant-1.7.1,org/apache/tools/ant/AntClassLoader$ResourceEnumeration,0,1667,private,java/lang/Object,1,4,1,4,0,0,1,11,7,67,22,5,1,
ant,ant-1.7.1,org/apache/tools/ant/AntTypeDefinition,0,7140,public super,java/lang/Object,0,7,1,22,1,0,9,19,61,559,160,29,7,
ant,ant-1.7.1,org/apache/tools/ant/BuildEvent,0,2040,public super,java/util/EventObject,0,7,0,11,0,0,17,9,11,80,36,0,3,
ant,ant-1.7.1,org/apache/tools/ant/BuildException,0,2903,public super,java/lang/RuntimeException,0,3,0,15,0,0,461,11,17,140,57,4,8,
ant,ant-1.7.1,org/apache/tools/ant/BuildFileTest,0,8103,public abstract super,junit/framework/TestCase,0,6,0,34,2,2,1,20,46,512,152,24,17,
ant,ant-1.7.1,org/apache/tools/ant/BuildFileTest$AntOutputStream,0,719,static private,java/io/OutputStream,0,1,0,2,0,0,1,4,2,13,5,0,1,
ant,ant-1.7.1,org/apache/tools/ant/BuildFileTest$AntTestListener,0,1721,private,java/lang/Object,1,2,1,8,0,0,1,7,12,47,14,0,1,
ant,ant-1.7.1,org/apache/tools/ant/BuildListener,0,363,public abstract interface,java/lang/Object,1,0,0,7,0,0,11,4,7,0,0,0,0,
ant,ant-1.7.1,org/apache/tools/ant/BuildLogger,0,323,public abstract interface,java/lang/Object,1,0,0,4,0,0,5,6,4,0,0,0,0,
ant,ant-1.7.1,org/apache/tools/ant/ComponentHelper,0,22065,public super,java/lang/Object,0,20,4,42,1,1,13,45,125,1651,479,123,29,
ant,ant-1.7.1,org/apache/tools/ant/ComponentHelper$AntTypeTable,0,2661,static private,java/util/Hashtable,0,2,0,9,0,0,1,13,18,118,40,9,2,
ant,ant-1.7.1,org/apache/tools/ant/DefaultLogger,0,5825,public super,java/lang/Object,1,7,0,20,0,0,7,25,43,393,121,28,9,
ant,ant-1.7.1,org/apache/tools/ant/DemuxInputStream,0,811,public super,java/io/InputStream,0,1,0,3,0,0,1,5,4,30,11,1,1,
ant,ant-1.7.1,org/apache/tools/ant/DemuxOutputStream,0,3863,public super,java/io/OutputStream,0,7,0,10,0,2,1,12,25,234,87,18,5,
ant,ant-1.7.1,org/apache/tools/ant/DemuxOutputStream$1,1,234,static,java/lang/Object,0,0,0,0,0,0,1,1,0,0,0,0,0,
ant,ant-1.7.1,org/apache/tools/ant/DemuxOutputStream$BufferInfo,0,1447,static private,java/lang/Object,0,2,0,6,5,0,1,5,6,25,9,0,1,
ant,ant-1.7.1,org/apache/tools/ant/Diagnostics,0,15124,public final super,java/lang/Object,0,10,2,31,1,1,2,45,64,1014,241,90,20,
ant,ant-1.7.1,org/apache/tools/ant/Diagnostics$1,0,626,static,java/lang/Object,1,0,0,2,0,0,1,6,2,7,2,0,1,
ant,ant-1.7.1,org/apache/tools/ant/DirectoryScanner,0,20184,public super,java/lang/Object,3,35,0,66,0,0,58,32,227,2361,756,135,37,
ant,ant-1.7.1,org/apache/tools/ant/DynamicAttribute,0,270,public abstract interface,java/lang/Object,0,0,0,1,0,0,3,3,1,0,0,0,0,
ant,ant-1.7.1,org/apache/tools/ant/DynamicAttributeNS,0,310,public abstract interface,java/lang/Object,0,0,0,1,0,0,2,3,1,0,0,0,0,
ant,ant-1.7.1,org/apache/tools/ant/DynamicConfigurator,0,228,public abstract interface,java/lang/Object,2,0,0,0,0,0,2,3,0,0,0,0,0,
ant,ant-1.7.1,org/apache/tools/ant/DynamicConfiguratorNS,0,236,public abstract interface,java/lang/Object,2,0,0,0,0,0,1,3,0,0,0,0,0,
ant,ant-1.7.1,org/apache/tools/ant/DynamicElement,0,266,public abstract interface,java/lang/Object,0,0,0,1,0,0,3,2,1,0,0,0,0,
ant,ant-1.7.1,org/apache/tools/ant/DynamicElementNS,0,306,public abstract interface,java/lang/Object,0,0,0,1,0,0,3,2,1,0,0,0,0,
ant,ant-1.7.1,org/apache/tools/ant/Executor,0,330,public abstract interface,java/lang/Object,0,0,0,2,0,0,4,4,2,0,0,0,0,
ant,ant-1.7.1,org/apache/tools/ant/ExitException,0,927,public super,java/lang/SecurityException,0,2,0,3,0,0,3,6,3,24,9,0,3,
ant,ant-1.7.1,org/apache/tools/ant/ExitStatusException,0,1010,public super,org/apache/tools/ant/BuildException,0,2,0,4,0,0,3,6,4,24,13,0,3,
ant,ant-1.7.1,org/apache/tools/ant/FileScanner,0,660,public abstract interface,java/lang/Object,0,0,0,14,0,0,3,5,14,0,0,0,0,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper,0,21999,public final super,java/lang/Object,0,30,19,38,2,17,20,62,184,1803,457,129,45,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$1,0,1048,,org/apache/tools/ant/IntrospectionHelper$NestedCreator,0,2,2,2,0,0,2,6,2,13,7,0,1,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$10,0,1771,,org/apache/tools/ant/IntrospectionHelper$AttributeSetter,0,2,2,2,0,0,1,13,2,39,12,4,3,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$11,0,2010,,org/apache/tools/ant/IntrospectionHelper$AttributeSetter,0,4,4,2,0,0,1,11,4,66,23,7,2,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$12,0,1909,,org/apache/tools/ant/IntrospectionHelper$NestedCreator,0,3,3,4,0,0,1,7,6,56,18,2,1,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$2,0,1048,,org/apache/tools/ant/IntrospectionHelper$NestedCreator,0,2,2,2,0,0,1,6,2,13,7,0,1,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$3,0,1330,,org/apache/tools/ant/IntrospectionHelper$AttributeSetter,0,2,2,2,0,0,1,7,2,23,9,1,1,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$4,0,1838,,org/apache/tools/ant/IntrospectionHelper$AttributeSetter,0,3,3,2,0,0,1,10,3,49,13,1,4,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$5,0,1483,,org/apache/tools/ant/IntrospectionHelper$AttributeSetter,0,2,2,2,0,0,1,8,3,28,9,1,1,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$6,0,1591,,org/apache/tools/ant/IntrospectionHelper$AttributeSetter,0,2,2,2,0,0,1,10,2,30,10,2,2,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$7,0,1401,,org/apache/tools/ant/IntrospectionHelper$AttributeSetter,0,2,2,2,0,0,1,7,2,24,10,1,1,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$8,0,1851,,org/apache/tools/ant/IntrospectionHelper$AttributeSetter,0,3,3,2,0,0,1,11,2,40,15,3,2,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$9,0,2455,,org/apache/tools/ant/IntrospectionHelper$AttributeSetter,0,3,3,2,0,0,1,13,4,82,17,5,4,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$AddNestedCreator,0,2311,static private,org/apache/tools/ant/IntrospectionHelper$NestedCreator,0,4,0,5,0,0,1,9,10,71,25,4,1,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$AttributeSetter,0,993,abstract static private,java/lang/Object,0,1,0,3,1,0,10,5,3,9,4,0,1,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$CreateNestedCreator,0,1174,static private,org/apache/tools/ant/IntrospectionHelper$NestedCreator,0,0,0,2,0,0,1,5,2,11,4,0,1,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$Creator,0,3632,public final static,java/lang/Object,0,5,0,6,1,0,3,14,12,165,46,9,7,
ant,ant-1.7.1,org/apache/tools/ant/IntrospectionHelper$NestedCreator,0,1462,abstract static private,java/lang/Object,0,1,0,7,1,0,7,5,7,17,5,0,1,
ant,ant-1.7.1,org/apache/tools/ant/Location,0,2349,public super,java/lang/Object,1,5,0,11,0,0,21,9,18,118,38,1,6,
ant,ant-1.7.1,org/apache/tools/ant/MagicNames,0,1939,public final super,java/lang/Object,0,25,0,1,0,0,0,3,1,3,1,0,1,
ant,ant-1.7.1,org/apache/tools/ant/Main,0,24014,public super,java/lang/Object,1,25,4,33,1,0,2,55,143,2224,557,131,51,
ant,ant-1.7.1,org/apache/tools/ant/NoBannerLogger,0,1661,public super,org/apache/tools/ant/DefaultLogger,0,1,0,5,0,0,1,8,9,58,16,0,2,
