System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
emma,emma-2.0.5312,com/vladium/app/IAppVersion,0,687,public abstract interface,java/lang/Object,0,10,0,0,0,0,1,3,0,0,0,0,0,
emma,emma-2.0.5312,com/vladium/emma/ANTMain,0,689,public final super,java/lang/Object,0,0,0,2,0,0,0,5,2,12,1,0,1,
emma,emma-2.0.5312,com/vladium/emma/AppLoggers,0,2002,public abstract super,java/lang/Object,0,5,0,2,0,0,2,10,6,59,17,7,4,
emma,emma-2.0.5312,com/vladium/emma/Command,0,8082,public abstract super,java/lang/Object,0,13,0,19,0,0,4,28,51,501,135,20,15,
emma,emma-2.0.5312,com/vladium/emma/EMMAException,0,1104,public super,com/vladium/util/exception/AbstractException,0,0,0,6,0,0,0,5,6,27,15,0,6,
emma,emma-2.0.5312,com/vladium/emma/EMMAProperties,0,4829,public abstract super,java/lang/Object,0,20,0,7,0,0,10,20,11,149,34,15,5,
emma,emma-2.0.5312,com/vladium/emma/EMMARuntimeException,0,1132,public super,com/vladium/util/exception/AbstractRuntimeException,0,0,0,6,0,0,18,5,6,27,15,0,6,
emma,emma-2.0.5312,com/vladium/emma/IAppConstants,0,1134,public abstract interface,java/lang/Object,1,9,0,1,0,1,3,7,2,11,0,0,0,
emma,emma-2.0.5312,com/vladium/emma/IAppConstants$1,1,752,static,java/lang/Object,0,1,1,1,1,0,1,5,1,10,2,1,0,
emma,emma-2.0.5312,com/vladium/emma/IAppErrorCodes,0,892,public abstract interface,java/lang/Object,0,17,0,0,0,0,9,2,0,0,0,0,0,
emma,emma-2.0.5312,com/vladium/emma/Processor,0,2256,public abstract super,java/lang/Object,0,3,0,7,0,0,4,10,9,71,26,6,1,
emma,emma-2.0.5312,com/vladium/emma/ant/FileTask,0,2252,public abstract super,com/vladium/emma/ant/NestedTask,0,2,0,5,0,0,2,13,10,90,28,8,4,
emma,emma-2.0.5312,com/vladium/emma/ant/FilterTask,0,1562,public abstract super,com/vladium/emma/ant/NestedTask,0,4,0,6,0,0,1,7,6,31,9,0,2,
emma,emma-2.0.5312,com/vladium/emma/ant/GenericCfg,0,3504,public super,java/lang/Object,0,5,0,5,0,0,2,18,14,163,48,12,7,
