System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
freecol,freecol-0.5.0,net/sf/freecol/FreeCol,0,10516,public final super,java/lang/Object,0,23,1,15,4,3,21,33,55,728,129,31,18,
freecol,freecol-0.5.0,net/sf/freecol/FreeCol$1,0,726,static,java/lang/Thread,0,1,1,2,0,0,1,4,2,11,4,0,1,
freecol,freecol-0.5.0,net/sf/freecol/FreeCol$2,0,1500,static,java/lang/Object,1,0,0,2,0,0,1,11,2,32,2,2,2,
freecol,freecol-0.5.0,net/sf/freecol/FreeCol$3,0,892,static,java/lang/Object,1,2,2,2,0,0,1,6,2,16,7,0,1,
freecol,freecol-0.5.0,net/sf/freecol/client/ClientOptions,0,5051,public super,net/sf/freecol/common/option/OptionMap,0,19,0,4,0,0,5,8,4,178,21,5,6,
freecol,freecol-0.5.0,net/sf/freecol/client/FreeColClient,0,14071,public final super,java/lang/Object,0,31,1,37,2,2,87,57,58,582,156,23,28,
freecol,freecol-0.5.0,net/sf/freecol/client/FreeColClient$1,0,759,,java/lang/Object,1,2,2,2,0,0,1,5,2,15,7,0,1,
freecol,freecol-0.5.0,net/sf/freecol/client/FreeColClient$2,0,782,,java/lang/Thread,0,1,1,2,0,0,1,5,2,12,5,0,1,
freecol,freecol-0.5.0,net/sf/freecol/client/Worker,0,2064,public final super,java/lang/Object,1,6,0,6,0,0,3,13,9,119,32,11,2,
freecol,freecol-0.5.0,net/sf/freecol/client/control/ClientModelController,0,5463,public super,java/lang/Object,1,6,1,9,1,0,1,22,13,185,43,13,5,
freecol,freecol-0.5.0,net/sf/freecol/client/control/ConnectController,0,12333,public final super,java/lang/Object,0,6,1,17,3,1,13,38,53,763,195,57,13,
freecol,freecol-0.5.0,net/sf/freecol/client/control/ConnectController$1,0,2779,,java/lang/Object,1,3,3,4,2,2,3,16,7,88,27,6,4,
freecol,freecol-0.5.0,net/sf/freecol/client/control/ConnectController$1ErrorJob,0,1069,,java/lang/Object,1,2,1,2,0,0,1,6,2,20,8,0,1,
freecol,freecol-0.5.0,net/sf/freecol/client/control/ConnectController$2,0,1319,,java/lang/Object,1,2,2,2,0,0,1,7,2,23,8,0,1,
freecol,freecol-0.5.0,net/sf/freecol/client/control/InGameController,0,42063,public final super,java/lang/Object,1,6,1,65,2,1,41,57,284,4074,1185,309,26,
freecol,freecol-0.5.0,net/sf/freecol/client/control/InGameController$1,0,1930,,java/lang/Thread,0,3,3,3,1,2,3,12,3,40,13,1,3,
freecol,freecol-0.5.0,net/sf/freecol/client/control/InGameController$2,0,884,,java/lang/Object,1,1,1,2,0,0,1,5,2,11,4,0,1,
freecol,freecol-0.5.0,net/sf/freecol/client/control/InGameController$3,0,928,,java/lang/Object,1,1,1,2,0,0,1,5,2,12,4,0,1,
freecol,freecol-0.5.0,net/sf/freecol/client/control/InGameInputHandler,0,19942,public final super,net/sf/freecol/client/control/InputHandler,0,5,1,24,1,4,7,43,102,2003,470,235,27,
freecol,freecol-0.5.0,net/sf/freecol/client/control/InGameInputHandler$1,0,988,,java/lang/Object,1,2,2,2,0,0,1,6,2,14,6,0,1,
freecol,freecol-0.5.0,net/sf/freecol/client/control/InGameInputHandler$2,0,1611,,java/lang/Object,1,3,3,2,0,0,1,8,2,35,13,0,1,
