System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
xalan,xalan-2.7.1,org/apache/xalan/Version,0,1651,public super,java/lang/Object,0,0,0,9,0,0,1,9,11,72,1,1,3,
xalan,xalan-2.7.1,org/apache/xalan/client/XSLTProcessorApplet,0,11249,public super,java/applet/Applet,0,21,0,29,5,1,1,36,46,761,217,65,23,
xalan,xalan-2.7.1,org/apache/xalan/client/XSLTProcessorApplet$TrustedAgent,0,1677,,java/lang/Object,1,3,1,2,0,0,1,10,4,90,24,6,1,
xalan,xalan-2.7.1,org/apache/xalan/extensions/ExpressionContext,0,665,public abstract interface,java/lang/Object,0,0,0,7,0,0,16,9,7,0,0,0,0,
xalan,xalan-2.7.1,org/apache/xalan/extensions/ExpressionVisitor,0,1786,public super,org/apache/xpath/XPathVisitor,0,1,0,2,0,0,1,13,5,50,16,4,1,
xalan,xalan-2.7.1,org/apache/xalan/extensions/ExtensionHandler,0,1763,public abstract super,java/lang/Object,0,2,0,7,0,0,11,12,8,20,7,1,1,
xalan,xalan-2.7.1,org/apache/xalan/extensions/ExtensionHandlerExsltFunction,0,5621,public super,org/apache/xalan/extensions/ExtensionHandler,0,3,0,9,0,0,0,25,28,216,62,21,8,
xalan,xalan-2.7.1,org/apache/xalan/extensions/ExtensionHandlerGeneral,0,8860,public super,org/apache/xalan/extensions/ExtensionHandler,0,13,3,8,1,0,0,39,35,559,126,62,15,
xalan,xalan-2.7.1,org/apache/xalan/extensions/ExtensionHandlerJava,0,1361,public abstract super,org/apache/xalan/extensions/ExtensionHandler,0,2,0,3,0,0,2,5,3,27,12,0,2,
xalan,xalan-2.7.1,org/apache/xalan/extensions/ExtensionHandlerJavaClass,0,9433,public super,org/apache/xalan/extensions/ExtensionHandlerJava,0,5,3,7,1,0,1,31,59,857,305,88,7,
xalan,xalan-2.7.1,org/apache/xalan/extensions/ExtensionHandlerJavaPackage,0,9817,public super,org/apache/xalan/extensions/ExtensionHandlerJava,0,2,2,7,1,0,0,33,51,866,293,105,11,
xalan,xalan-2.7.1,org/apache/xalan/extensions/ExtensionNamespaceContext,0,2672,public super,java/lang/Object,1,14,0,4,0,1,1,8,25,149,26,1,4,
xalan,xalan-2.7.1,org/apache/xalan/extensions/ExtensionNamespaceContext$1,0,1072,,java/lang/Object,1,3,2,4,0,0,1,7,6,35,11,0,2,
