System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
xalan,xalan-j_2_7_0,org/apache/xalan/Version,0,1651,public super,java/lang/Object,0,0,0,9,0,0,1,9,11,72,1,1,3,
xalan,xalan-j_2_7_0,org/apache/xalan/client/XSLTProcessorApplet,0,11329,public super,java/applet/Applet,0,21,0,30,6,1,1,36,47,764,218,65,23,
xalan,xalan-j_2_7_0,org/apache/xalan/client/XSLTProcessorApplet$TrustedAgent,0,1716,,java/lang/Object,1,3,1,2,0,0,1,10,4,98,26,6,1,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExpressionContext,0,665,public abstract interface,java/lang/Object,0,0,0,7,0,0,16,9,7,0,0,0,0,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExpressionVisitor,0,1786,public super,org/apache/xpath/XPathVisitor,0,1,0,2,0,0,1,13,5,50,16,4,1,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExtensionHandler,0,1763,public abstract super,java/lang/Object,0,2,0,7,0,0,11,12,8,20,7,1,1,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExtensionHandlerExsltFunction,0,5627,public super,org/apache/xalan/extensions/ExtensionHandler,0,3,0,9,0,0,0,25,28,216,62,21,8,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExtensionHandlerGeneral,0,8865,public super,org/apache/xalan/extensions/ExtensionHandler,0,13,3,8,1,0,0,39,35,557,126,62,15,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExtensionHandlerJava,0,1361,public abstract super,org/apache/xalan/extensions/ExtensionHandler,0,2,0,3,0,0,2,5,3,27,12,0,2,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExtensionHandlerJavaClass,0,9439,public super,org/apache/xalan/extensions/ExtensionHandlerJava,0,5,3,7,1,0,1,31,59,857,305,88,7,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExtensionHandlerJavaPackage,0,9823,public super,org/apache/xalan/extensions/ExtensionHandlerJava,0,2,2,7,1,0,0,33,51,866,293,105,11,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExtensionNamespaceContext,0,2672,public super,java/lang/Object,1,14,0,4,0,1,1,8,25,149,26,1,4,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExtensionNamespaceContext$1,0,1072,,java/lang/Object,1,3,2,4,0,0,1,7,6,35,11,0,2,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExtensionNamespaceSupport,0,2210,public super,java/lang/Object,0,4,0,3,0,0,4,9,9,126,44,11,3,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExtensionNamespacesManager,0,5146,public super,java/lang/Object,0,3,0,9,0,0,5,9,24,593,150,88,6,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ExtensionsTable,0,4090,public super,java/lang/Object,0,2,0,7,0,0,2,16,17,192,61,25,6,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/MethodResolver,0,14476,public super,java/lang/Object,0,23,11,13,1,1,2,37,151,1966,359,170,20,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/MethodResolver$ConversionInfo,0,608,static,java/lang/Object,0,2,0,1,0,0,1,4,1,9,5,0,1,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ObjectFactory,0,8239,super,java/lang/Object,0,6,1,13,1,1,2,27,46,665,153,83,14,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/ObjectFactory$ConfigurationError,0,804,static,java/lang/Error,0,2,0,2,0,0,2,5,2,10,5,0,1,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/SecuritySupport,0,2451,super,java/lang/Object,0,1,0,11,0,0,2,14,13,67,13,9,4,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/SecuritySupport12,0,3114,super,org/apache/xalan/extensions/SecuritySupport,0,0,0,9,0,8,9,22,9,73,17,1,9,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/SecuritySupport12$1,0,941,,java/lang/Object,1,1,1,2,0,0,1,7,2,15,4,3,1,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/SecuritySupport12$2,0,893,,java/lang/Object,1,1,1,2,0,0,1,6,2,14,4,3,1,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/SecuritySupport12$3,0,973,,java/lang/Object,1,2,2,2,0,0,1,6,3,25,9,3,1,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/SecuritySupport12$4,0,844,,java/lang/Object,1,2,2,2,0,0,1,6,2,13,6,0,1,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/SecuritySupport12$5,0,875,,java/lang/Object,1,2,2,2,0,0,1,6,2,15,6,0,2,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/SecuritySupport12$6,0,1067,,java/lang/Object,1,3,3,2,0,0,1,7,3,28,12,2,1,
xalan,xalan-j_2_7_0,org/apache/xalan/extensions/SecuritySupport12$7,0,832,,java/lang/Object,1,2,2,2,0,0,1,6,2,16,6,0,2,
