# Qualitas Corpus Metadata
# Timestamp: 20130909T1126NZST
# See http://qualitascorpus.com/docs/metadata/attributes.html for explanation of fields.
system	status	sysvercount	description	sysver	fullname	domain	jreversion	license	distribution	releasedate	sourcepackages	n_bin	n_both	n_files	n_top(bin)	loc(both)	ncloc(both)	url
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.1	Ant	parsers/generators/make	1.1.8_16-solaris	The Apache Software License, Version 1.1; src/jakarta-ant/LICENSE	e	2000-07-18	org.apache.tools. com.oreilly.	102	102	69	70	16507	7837	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.2	Ant	parsers/generators/make	1.2.2_017	The Apache Software License, Version 1.1; src/LICENSE	e	2000-10-24	org.apache.tools. com.oreilly.	173	173	120	122	30162	14935	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.3	Ant	parsers/generators/make	1.1.8_16-solaris	The Apache Software License, Version 1.1; src/jakarta-ant-1.3/LICENSE	e	2001-03-02	org.apache.tools. com.oreilly.	187	187	125	126	30445	14360	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.4	Ant	parsers/generators/make	1.1.8_16-solaris	The Apache Software License, Version 1.1; src/jakarta-ant-1.4/LICENSE	e	2001-09-03	org.apache.tools. com.oreilly.	265	265	177	178	43790	21505	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.4.1	Ant	parsers/generators/make	1.1.8_16-solaris	The Apache Software License, Version 1.1; src/jakarta-ant-1.4.1/LICENSE	e	2001-10-11	org.apache.tools. com.oreilly.	265	265	177	178	43990	20631	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.5	Ant	parsers/generators/make	1.2.2_017	The Apache Software License, Version 1.1; src/jakarta-ant-1.5/LICENSE	e	2002-07-09	org.apache.tools. com.oreilly.	731	731	532	542	145498	64796	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.5.1	Ant	parsers/generators/make	1.2.2_017	The Apache Software License, Version 1.1; src/jakarta-ant-1.5.1/LICENSE	e	2002-10-02	org.apache.tools. com.oreilly.	731	731	532	542	145805	65037	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.5.2	Ant	parsers/generators/make	1.2.2_017	The Apache Software License, Version 1.1; src/apache-ant-1.5.2/LICENSE	e	2003-02-28	org.apache.tools. com.oreilly.	745	745	536	546	148526	66501	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.5.3.1	Ant	parsers/generators/make	1.2.2_017	The Apache Software License, Version 1.1; src/apache-ant-1.5.3-1/LICENSE	e	2003-04-16	org.apache.tools. com.oreilly.	746	746	536	546	148648	63578	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.5.4	Ant	parsers/generators/make	1.2.2_017	The Apache Software License, Version 1.1; src/apache-ant-1.5.4/LICENSE	e	2003-08-12	org.apache.tools. com.oreilly.	748	748	536	546	148820	63637	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.6.0	Ant	parsers/generators/make	1.3.1_20	The Apache Software License, Version 1.1; src/apache-ant-1.6.0/LICENSE	e	2003-12-18	org.apache.tools	943	943	650	660	189915	84950	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.6.1	Ant	parsers/generators/make	1.3.1_20	Apache License * Version 2.0, January 2004; src/apache-ant-1.6.1/LICENSE	e	2004-02-12	org.apache.tools	947	947	654	664	167833	85906	http://ant.apache.org/
